,Value,SpatialDim,TimeDim,IndicatorCode,SpatialDimType,Comments
0,1011.7100183823529,MNE,2000,Precipitation,COUNTRY,
0,1270.5470623501199,MNG,2000,Precipitation,COUNTRY,
0,1139.149693080357,MDA,2000,Precipitation,COUNTRY,
0,1172.010009765625,MCO,2000,Precipitation,COUNTRY,
0,619.7323099415205,MEX,2000,Precipitation,COUNTRY,
0,6.931999969482422,MUS,2000,Precipitation,COUNTRY,
0,232.41283088235295,MRT,2000,Precipitation,COUNTRY,
0,312.81667073567706,MLT,2000,Precipitation,COUNTRY,
0,146.82365171370967,MLI,2000,Precipitation,COUNTRY,
0,2392.4000651041665,MDV,2000,Precipitation,COUNTRY,
0,2998.1925578034684,MYS,2000,Precipitation,COUNTRY,
0,438.5939127604167,MWI,2000,Precipitation,COUNTRY,
0,21.377610651145417,MDG,2000,Precipitation,COUNTRY,
0,1009.9342447916666,MKD,2000,Precipitation,COUNTRY,
0,1055.3599446614583,LUX,2000,Precipitation,COUNTRY,
0,976.1161747685185,LTU,2000,Precipitation,COUNTRY,
0,1220.22998046875,LIE,2000,Precipitation,COUNTRY,
0,283.50033194233686,LBY,2000,Precipitation,COUNTRY,
0,204.95710637019232,LBR,2000,Precipitation,COUNTRY,
0,15.196499633789063,LSO,2000,Precipitation,COUNTRY,
0,1018.283984375,LBN,2000,Precipitation,COUNTRY,
0,1008.969254032258,LVA,2000,Precipitation,COUNTRY,
0,634.2361475840336,LAO,2000,Precipitation,COUNTRY,
0,1196.3475609756097,KGZ,2000,Precipitation,COUNTRY,
0,755.8515625,KWT,2000,Precipitation,COUNTRY,
0,1055.4709694602273,-99,2000,Precipitation,COUNTRY,
0,972.447578125,KIR,2000,Precipitation,COUNTRY,
0,606.7057959401709,KEN,2000,Precipitation,COUNTRY,
0,1230.633843537415,KAZ,2000,Precipitation,COUNTRY,
0,935.6927584134615,JOR,2000,Precipitation,COUNTRY,
0,607.489010989011,JPN,2000,Precipitation,COUNTRY,
0,82.21500244140626,JAM,2000,Precipitation,COUNTRY,
0,986.6524532710281,ITA,2000,Precipitation,COUNTRY,
0,1055.7872869318182,ISR,2000,Precipitation,COUNTRY,
0,966.7307291666667,IRL,2000,Precipitation,COUNTRY,
0,849.2716806220096,IRQ,2000,Precipitation,COUNTRY,
0,826.1140957446809,IRN,2000,Precipitation,COUNTRY,
0,2982.297974927676,IDN,2000,Precipitation,COUNTRY,
0,715.7818084693084,IND,2000,Precipitation,COUNTRY,
0,466.0269595286885,ISL,2000,Precipitation,COUNTRY,
0,1099.9232742537313,HUN,2000,Precipitation,COUNTRY,
0,150.76179879610655,HND,2000,Precipitation,COUNTRY,
0,62.45400390625,HTI,2000,Precipitation,COUNTRY,
0,2994.669005102041,GUY,2000,Precipitation,COUNTRY,
0,202.44002278645834,GNB,2000,Precipitation,COUNTRY,
0,175.13206263950892,GIN,2000,Precipitation,COUNTRY,
0,160.45218394886365,GTM,2000,Precipitation,COUNTRY,
0,1795.47998046875,GRD,2000,Precipitation,COUNTRY,
0,866.1376674107142,GRC,2000,Precipitation,COUNTRY,
0,150.06056530070754,GHA,2000,Precipitation,COUNTRY,
0,1073.3167119565217,DEU,2000,Precipitation,COUNTRY,
0,1349.5018028846155,GEO,2000,Precipitation,COUNTRY,
0,206.54070172991072,GMB,2000,Precipitation,COUNTRY,
0,2175.8827421171172,GAB,2000,Precipitation,COUNTRY,
0,1336.2635582010582,FRA,2000,Precipitation,COUNTRY,
0,788.4766438802084,ALA,2000,Precipitation,COUNTRY,
0,620.0407455787781,FIN,2000,Precipitation,COUNTRY,
0,817.73046875,FJI,2000,Precipitation,COUNTRY,
0,854.7088235294118,ETH,2000,Precipitation,COUNTRY,
0,959.65234375,EST,2000,Precipitation,COUNTRY,
0,1216.0068108974358,ERI,2000,Precipitation,COUNTRY,
0,2472.4123263888887,GNQ,2000,Precipitation,COUNTRY,
0,162.96153846153845,SLV,2000,Precipitation,COUNTRY,
0,1059.5181221461187,EGY,2000,Precipitation,COUNTRY,
0,3629.9572916666666,ECU,2000,Precipitation,COUNTRY,
0,262.0312972530242,DOM,2000,Precipitation,COUNTRY,
0,1243.3349609375,DMA,2000,Precipitation,COUNTRY,
0,811.1312040441177,DJI,2000,Precipitation,COUNTRY,
0,230.19373735670936,GRL,2000,Precipitation,COUNTRY,
0,941.6474609375,DNK,2000,Precipitation,COUNTRY,
0,1089.3539713541666,CZE,2000,Precipitation,COUNTRY,
0,1257.0515950520833,-99,2000,Precipitation,COUNTRY,
0,1170.45791015625,CYP,2000,Precipitation,COUNTRY,
0,104.59140875400641,CUB,2000,Precipitation,COUNTRY,
0,1064.1175986842106,HRV,2000,Precipitation,COUNTRY,
0,172.0821624300373,CIV,2000,Precipitation,COUNTRY,
0,240.1381378173828,CRI,2000,Precipitation,COUNTRY,
0,1523.09,COD,2000,Precipitation,COUNTRY,
0,1597.3783623417721,COG,2000,Precipitation,COUNTRY,
0,247.35400390625,COM,2000,Precipitation,COUNTRY,
0,2922.7215401785716,COL,2000,Precipitation,COUNTRY,
0,748.6264627011215,CHN,2000,Precipitation,COUNTRY,
0,283.3450012207031,MAC,2000,Precipitation,COUNTRY,
0,312.8766682942708,HKG,2000,Precipitation,COUNTRY,
0,1156.4585459183672,CHL,2000,Precipitation,COUNTRY,
0,918.1451549369748,TCD,2000,Precipitation,COUNTRY,
0,1463.3673115079366,CAF,2000,Precipitation,COUNTRY,
0,277.10565185546875,CPV,2000,Precipitation,COUNTRY,
0,873.6883870171541,CAN,2000,Precipitation,COUNTRY,
0,1231.1050565326634,CMR,2000,Precipitation,COUNTRY,
0,1364.467672413793,KHM,2000,Precipitation,COUNTRY,
0,671.8459394904459,MMR,2000,Precipitation,COUNTRY,
0,1705.8778211805557,BDI,2000,Precipitation,COUNTRY,
0,113.65089081554878,BFA,2000,Precipitation,COUNTRY,
0,1077.5950356012659,BGR,2000,Precipitation,COUNTRY,
0,2677.256103515625,BRN,2000,Precipitation,COUNTRY,
0,1725.4783108774236,BRA,2000,Precipitation,COUNTRY,
0,2.4061941540675607,BWA,2000,Precipitation,COUNTRY,
0,1057.605969551282,BIH,2000,Precipitation,COUNTRY,
0,776.510775862069,BOL,2000,Precipitation,COUNTRY,
0,424.6514369419643,BTN,2000,Precipitation,COUNTRY,
0,94.20456414473684,BEN,2000,Precipitation,COUNTRY,
0,153.87367650082237,BLZ,2000,Precipitation,COUNTRY,
0,1080.2572866586538,BEL,2000,Precipitation,COUNTRY,
0,1077.1791523972602,BLR,2000,Precipitation,COUNTRY,
0,1479.27001953125,BRB,2000,Precipitation,COUNTRY,
0,444.393505859375,BGD,2000,Precipitation,COUNTRY,
0,1056.9100341796875,BHR,2000,Precipitation,COUNTRY,
0,86.18782905910327,BHS,2000,Precipitation,COUNTRY,
0,1586.81884765625,AZE,2000,Precipitation,COUNTRY,
0,1107.6186810661766,AUT,2000,Precipitation,COUNTRY,
0,1938.9755694948828,AUS,2000,Precipitation,COUNTRY,
0,1634.06484375,ARM,2000,Precipitation,COUNTRY,
0,1428.7861946202531,ARG,2000,Precipitation,COUNTRY,
0,1121.0367024739583,ATG,2000,Precipitation,COUNTRY,
