,Value,SpatialDim,TimeDim,IndicatorCode,SpatialDimType,Comments
0,8.100000381469727,MCO,2000,Temperature,COUNTRY,
0,20.962618786549708,MEX,2000,Temperature,COUNTRY,
0,27.727999877929687,MUS,2000,Temperature,COUNTRY,
0,21.418375459558824,MRT,2000,Temperature,COUNTRY,
0,16.546666463216145,MLT,2000,Temperature,COUNTRY,
0,21.103428994455644,MLI,2000,Temperature,COUNTRY,
0,26.786666870117188,MDV,2000,Temperature,COUNTRY,
0,26.301848130419074,MYS,2000,Temperature,COUNTRY,
0,28.647640652126736,MWI,2000,Temperature,COUNTRY,
0,26.942709630229082,MDG,2000,Temperature,COUNTRY,
0,13.096666608537946,MKD,2000,Temperature,COUNTRY,
0,2.753333409627279,LUX,2000,Temperature,COUNTRY,
0,-0.755000008477105,LTU,2000,Temperature,COUNTRY,
0,4.845000267028809,LIE,2000,Temperature,COUNTRY,
0,18.6698625995827,LBY,2000,Temperature,COUNTRY,
0,24.68480741060697,LBR,2000,Temperature,COUNTRY,
0,21.1114990234375,LSO,2000,Temperature,COUNTRY,
0,20.220001220703125,LBN,2000,Temperature,COUNTRY,
0,-1.2038709578975555,LVA,2000,Temperature,COUNTRY,
0,24.18974855567227,LAO,2000,Temperature,COUNTRY,
0,12.177967598767784,KGZ,2000,Temperature,COUNTRY,
0,21.71538367638221,KWT,2000,Temperature,COUNTRY,
0,11.618182095614346,-99,2000,Temperature,COUNTRY,
0,26.3860009765625,KIR,2000,Temperature,COUNTRY,
0,24.00521250667735,KEN,2000,Temperature,COUNTRY,
0,5.247734640731292,KAZ,2000,Temperature,COUNTRY,
0,21.743077204777645,JOR,2000,Temperature,COUNTRY,
0,15.290511246565934,JPN,2000,Temperature,COUNTRY,
0,18.704000854492186,JAM,2000,Temperature,COUNTRY,
0,10.43649491639895,ITA,2000,Temperature,COUNTRY,
0,21.71590909090909,ISR,2000,Temperature,COUNTRY,
0,0.2875,IRL,2000,Temperature,COUNTRY,
0,19.98521605861244,IRQ,2000,Temperature,COUNTRY,
0,19.024113475177305,IRN,2000,Temperature,COUNTRY,
0,26.457551078833173,IDN,2000,Temperature,COUNTRY,
0,21.731593276515152,IND,2000,Temperature,COUNTRY,
0,-9.177458215932377,ISL,2000,Temperature,COUNTRY,
0,4.998507371589319,HUN,2000,Temperature,COUNTRY,
0,20.31770299692623,HND,2000,Temperature,COUNTRY,
0,18.668499755859376,HTI,2000,Temperature,COUNTRY,
0,25.708775111607142,GUY,2000,Temperature,COUNTRY,
0,23.893333435058594,GNB,2000,Temperature,COUNTRY,
0,23.885358537946427,GIN,2000,Temperature,COUNTRY,
0,20.663090376420456,GTM,2000,Temperature,COUNTRY,
0,24.1299991607666,GRD,2000,Temperature,COUNTRY,
0,16.537430245535713,GRC,2000,Temperature,COUNTRY,
0,23.76528412441038,GHA,2000,Temperature,COUNTRY,
0,1.604173875891644,DEU,2000,Temperature,COUNTRY,
0,10.954230675330528,GEO,2000,Temperature,COUNTRY,
0,23.405715942382812,GMB,2000,Temperature,COUNTRY,
0,23.94063203828829,GAB,2000,Temperature,COUNTRY,
0,8.580370706225198,FRA,2000,Temperature,COUNTRY,
0,-3.7999998728434243,ALA,2000,Temperature,COUNTRY,
0,-7.055015637560289,FIN,2000,Temperature,COUNTRY,
0,25.987750244140624,FJI,2000,Temperature,COUNTRY,
0,24.42122242647059,ETH,2000,Temperature,COUNTRY,
0,-1.9174074243616175,EST,2000,Temperature,COUNTRY,
0,24.29500012520032,ERI,2000,Temperature,COUNTRY,
0,24.45833502875434,GNQ,2000,Temperature,COUNTRY,
0,20.9015385554387,SLV,2000,Temperature,COUNTRY,
0,19.192329302226028,EGY,2000,Temperature,COUNTRY,
0,21.876835123697916,ECU,2000,Temperature,COUNTRY,
0,14.848387687436995,DOM,2000,Temperature,COUNTRY,
0,24.345001220703125,DMA,2000,Temperature,COUNTRY,
0,25.8582368738511,DJI,2000,Temperature,COUNTRY,
0,-18.33946708530007,GRL,2000,Temperature,COUNTRY,
0,-2.1807141985212053,DNK,2000,Temperature,COUNTRY,
0,2.6965001424153647,CZE,2000,Temperature,COUNTRY,
0,19.18999989827474,-99,2000,Temperature,COUNTRY,
0,19.507000732421876,CYP,2000,Temperature,COUNTRY,
0,18.156922951722755,CUB,2000,Temperature,COUNTRY,
0,7.888070089775219,HRV,2000,Temperature,COUNTRY,
0,24.131493411847014,CIV,2000,Temperature,COUNTRY,
0,21.20281219482422,CRI,2000,Temperature,COUNTRY,
0,24.6221875,COD,2000,Temperature,COUNTRY,
0,24.16512713854826,COG,2000,Temperature,COUNTRY,
0,28.3239990234375,COM,2000,Temperature,COUNTRY,
0,23.949327741350448,COL,2000,Temperature,COUNTRY,
0,14.491951334714773,CHN,2000,Temperature,COUNTRY,
0,23.78499984741211,MAC,2000,Temperature,COUNTRY,
0,23.963333129882812,HKG,2000,Temperature,COUNTRY,
0,11.57706074617347,CHL,2000,Temperature,COUNTRY,
0,21.543108258928573,TCD,2000,Temperature,COUNTRY,
0,23.566786024305557,CAF,2000,Temperature,COUNTRY,
0,23.921875,CPV,2000,Temperature,COUNTRY,
0,-2.4508770864186102,CAN,2000,Temperature,COUNTRY,
0,23.773167595791456,CMR,2000,Temperature,COUNTRY,
0,26.090000897988507,KHM,2000,Temperature,COUNTRY,
0,22.579650490147294,MMR,2000,Temperature,COUNTRY,
0,22.630555894639755,BDI,2000,Temperature,COUNTRY,
0,22.130081300813007,BFA,2000,Temperature,COUNTRY,
0,11.565822166732595,BGR,2000,Temperature,COUNTRY,
0,26.978750228881836,BRN,2000,Temperature,COUNTRY,
0,25.13352879559645,BRA,2000,Temperature,COUNTRY,
0,22.092184337044536,BWA,2000,Temperature,COUNTRY,
0,8.83282001201923,BIH,2000,Temperature,COUNTRY,
0,25.881703484195402,BOL,2000,Temperature,COUNTRY,
0,19.269287109375,BTN,2000,Temperature,COUNTRY,
0,23.01877098752741,BEN,2000,Temperature,COUNTRY,
0,20.13947336297286,BLZ,2000,Temperature,COUNTRY,
0,2.1396155724158654,BEL,2000,Temperature,COUNTRY,
0,0.5358218885447881,BLR,2000,Temperature,COUNTRY,
0,23.735000610351562,BRB,2000,Temperature,COUNTRY,
0,21.01925048828125,BGD,2000,Temperature,COUNTRY,
0,22.8700008392334,BHR,2000,Temperature,COUNTRY,
0,17.183043106742527,BHS,2000,Temperature,COUNTRY,
0,14.035780906677246,AZE,2000,Temperature,COUNTRY,
0,4.583970462574678,AUT,2000,Temperature,COUNTRY,
0,22.43887731099373,AUS,2000,Temperature,COUNTRY,
0,14.238399658203125,ARM,2000,Temperature,COUNTRY,
0,16.914200022250792,ARG,2000,Temperature,COUNTRY,
0,24.363332112630207,ATG,2000,Temperature,COUNTRY,
0,26.826133299766113,AGO,2000,Temperature,COUNTRY,
0,9.632499694824219,AND,2000,Temperature,COUNTRY,
0,18.248221595447284,DZA,2000,Temperature,COUNTRY,
0,13.380799560546874,ALB,2000,Temperature,COUNTRY,
0,17.313542200307378,AFG,2000,Temperature,COUNTRY,
0,22.719999313354492,SXM,2000,Temperature,COUNTRY,
0,26.53499984741211,TUV,2000,Temperature,COUNTRY,
0,26.345828939800615,ZWE,2001,Temperature,COUNTRY,
0,26.550420964805824,ZMB,2001,Temperature,COUNTRY,
0,24.84262745650773,YEM,2001,Temperature,COUNTRY,
0,24.31593176200565,VNM,2001,Temperature,COUNTRY,
0,25.36530768264075,VEN,2001,Temperature,COUNTRY,
0,10.680000305175781,VAT,2001,Temperature,COUNTRY,
0,26.666666666666668,VUT,2001,Temperature,COUNTRY,
0,12.518089265859082,UZB,2001,Temperature,COUNTRY,
0,21.48533257378472,URY,2001,Temperature,COUNTRY,
0,26.89000244140625,FSM,2001,Temperature,COUNTRY,
0,27.245714460100448,MHL,2001,Temperature,COUNTRY,
0,8.81406876252505,USA,2001,Temperature,COUNTRY,
0,27.139999389648438,IOT,2001,Temperature,COUNTRY,
0,1.0519047691708518,FLK,2001,Temperature,COUNTRY,
0,3.109999895095825,JEY,2001,Temperature,COUNTRY,
0,2.7649998664855957,GGY,2001,Temperature,COUNTRY,
0,-0.17000000178813934,IMN,2001,Temperature,COUNTRY,
0,-0.26513890866880063,GBR,2001,Temperature,COUNTRY,
0,23.414417355559593,ARE,2001,Temperature,COUNTRY,
0,4.053034611520051,UKR,2001,Temperature,COUNTRY,
0,21.938642483313107,UGA,2001,Temperature,COUNTRY,
0,14.786367416381836,TKM,2001,Temperature,COUNTRY,
0,15.790557011471519,TUR,2001,Temperature,COUNTRY,
0,16.135162025369624,TUN,2001,Temperature,COUNTRY,
0,25.135713849748885,TTO,2001,Temperature,COUNTRY,
0,25.36750030517578,TON,2001,Temperature,COUNTRY,
0,23.3914306640625,TGO,2001,Temperature,COUNTRY,
0,26.6825008392334,TLS,2001,Temperature,COUNTRY,
0,25.05792012117347,THA,2001,Temperature,COUNTRY,
0,23.71542806440443,TZA,2001,Temperature,COUNTRY,
0,14.434741462628866,TJK,2001,Temperature,COUNTRY,
0,23.541249593098957,TWN,2001,Temperature,COUNTRY,
0,19.112156288296568,SYR,2001,Temperature,COUNTRY,
0,5.088919149862753,CHE,2001,Temperature,COUNTRY,
0,-4.8770177689187015,SWE,2001,Temperature,COUNTRY,
0,23.261426653180802,SWZ,2001,Temperature,COUNTRY,
0,25.95712187795928,SUR,2001,Temperature,COUNTRY,
0,22.386693759227363,SSD,2001,Temperature,COUNTRY,
0,22.191067557803468,SDN,2001,Temperature,COUNTRY,
0,26.61054126636402,LKA,2001,Temperature,COUNTRY,
0,11.732517005657328,ESP,2001,Temperature,COUNTRY,
0,15.202154071514423,KOR,2001,Temperature,COUNTRY,
0,21.801365362149532,ZAF,2001,Temperature,COUNTRY,
0,26.374183067908653,SOM,2001,Temperature,COUNTRY,
0,25.90052554481908,-99,2001,Temperature,COUNTRY,
0,27.09711632361779,SLB,2001,Temperature,COUNTRY,
0,3.8040000915527346,SVK,2001,Temperature,COUNTRY,
0,6.054583231608073,SVN,2001,Temperature,COUNTRY,
0,26.209999084472656,SGP,2001,Temperature,COUNTRY,
0,24.467222425672745,SLE,2001,Temperature,COUNTRY,
0,26.505001068115234,SYC,2001,Temperature,COUNTRY,
